,Unnamed: 0,Unnamed: 0.1,clave_ct,nom_turno,nombre_ct,domicilio,localidad_inegi,nombre_localidad,colonia,nombre_colonia,municipio_clave_inegi,nombre_municipio,sostenimiento,nivel,programa,deserciin_intracurricular,reprobaciin,reprobaciin__con_regularizados,eficiencia_terminal
10915,10915,10915,14KPR0836Q,MATUTINO,FRANCISCO_VILLA,CONOCIDO,116,EL_VADO,0,0,17,AYUTLA,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,50.0
10916,10916,10916,14KPR0837P,MATUTINO,REFORMA,CONOCIDO,47,HACIENDA_SAN_MAMES,0,0,108,TUXPAN,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10917,10917,10917,14KPR0845Y,MATUTINO,SOR_JUANA_INES_DE_LA_CRUZ,CONOCIDO,39,JOYA_DE_ARRIBA,0,0,111,VALLE_DE_GUADALUPE,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,100.0
10918,10918,10918,14KPR0848V,MATUTINO,ANDRES_QUINTANA_ROO,CONOCIDO,177,ATARJEA,0,0,29,CUQUIO,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10919,10919,10919,14KPR0852H,MATUTINO,MORELOS,CONOCIDO,174,LOS_OCOTES,0,0,27,CUAUTITLAN_DE_GARCIA_BARRAGAN,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10920,10920,10920,14KPR0862O,MATUTINO,VICENTE_GUERRERO,CONOCIDO,56,MEZCALA,0,0,17,AYUTLA,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10921,10921,10921,14KPR0864M,MATUTINO,AMADO_NERVO,CONOCIDO,78,JOSE_MARIA_MORELOS,0,0,20,CABO_CORRIENTES,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10922,10922,10922,14KPR0876R,MATUTINO,SANTA_LUCIA,CONOCIDO,215,SANTA_LUCIA_DE_LA_CUESTA,0,0,84,TALPA_DE_ALLENDE,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,33.33
10923,10923,10923,14KPR0879O,MATUTINO,16_DE_SEPTIEMBRE,CONOCIDO,228,LOS_CAPULINES,0,0,69,QUITUPAN,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10924,10924,10924,14KPR0880D,MATUTINO,MIGUEL_HIDALGO_Y_COSTILLA,CONOCIDO,79,EL_LAUREL,0,0,69,QUITUPAN,FEDERAL,PRIMARIA,CONAFE,0.0,25.0,,0.0
10925,10925,10925,14KPR0888W,MATUTINO,24_DE_FEBRERO,CONOCIDO,51,LOS_PORTALES_DE_ABAJO,0,0,46,JALOSTOTITLAN,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10926,10926,10926,14KPR0903Y,MATUTINO,EL_BARATILLO,CONOCIDO,3,VILLA_DEL_LAGO,0,0,96,TIZAPAN_EL_ALTO,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,66.67
10927,10927,10927,14KPR0916B,MATUTINO,TEPACA,CONOCIDO,131,TEPACA,0,0,45,IXTLAHUACAN_DEL_RIO,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10928,10928,10928,14KPR0922M,MATUTINO,MIGUEL_HIDALGO_Y_COSTILLA,CONOCIDO,227,LA_SOLEDAD,0,0,120,ZAPOPAN,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,25.0
